               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.024633,            0.026166,            0.002624,             0.76266,             0.74261,             0.80075,             0.58021,            0.024936,            0.018281,           0.0090155,           0.0024513,           0.0024513,           0.0024513
                  63,            0.024402,            0.026313,           0.0027913,             0.73405,             0.78354,             0.80429,             0.58332,            0.024897,            0.018205,           0.0093872,           0.0023275,           0.0023275,           0.0023275
                  64,            0.024242,            0.026154,           0.0027228,             0.75947,             0.75977,             0.80619,             0.58641,            0.025009,            0.018159,            0.009825,           0.0022038,           0.0022038,           0.0022038
                  65,            0.023989,            0.025838,           0.0024986,              0.7807,             0.74158,             0.80882,             0.58843,            0.024866,            0.018233,           0.0095751,             0.00208,             0.00208,             0.00208
                  66,            0.023975,            0.026001,           0.0027826,             0.77107,             0.76105,             0.80826,             0.58728,            0.024837,            0.018209,            0.009176,           0.0019563,           0.0019563,           0.0019563
                  67,            0.023779,            0.025638,           0.0026654,              0.7524,             0.76498,             0.80624,             0.58508,            0.024864,            0.018251,           0.0088442,           0.0018325,           0.0018325,           0.0018325
                  68,            0.023694,            0.025822,           0.0022916,             0.74329,             0.76576,             0.80356,             0.58258,            0.024823,             0.01834,           0.0088133,           0.0017087,           0.0017087,           0.0017087
                  69,            0.023687,            0.025465,           0.0023249,             0.74812,             0.76961,             0.80554,             0.58759,             0.02482,            0.018416,           0.0088911,            0.001585,            0.001585,            0.001585
                  70,            0.023506,            0.025844,           0.0023685,             0.75357,             0.76224,             0.80465,             0.58719,            0.024839,            0.018395,             0.00899,           0.0014612,           0.0014612,           0.0014612
                  71,            0.023557,            0.025407,           0.0022364,             0.74504,             0.77247,             0.80492,             0.58683,            0.024968,            0.018414,           0.0089335,           0.0013375,           0.0013375,           0.0013375
                  72,            0.023072,            0.025462,           0.0022369,             0.77161,             0.73936,             0.80478,             0.58675,            0.024963,            0.018437,           0.0088901,           0.0012138,           0.0012138,           0.0012138
                  73,            0.023436,             0.02523,           0.0023564,             0.75029,             0.76162,             0.80256,             0.58475,            0.025032,            0.018497,           0.0090344,             0.00109,             0.00109,             0.00109
                  74,            0.023164,            0.024816,           0.0020879,              0.7485,             0.76197,             0.80056,             0.58471,            0.025054,            0.018556,           0.0092476,          0.00096625,          0.00096625,          0.00096625
                  75,            0.022917,            0.025061,           0.0021472,             0.76234,             0.73891,             0.79798,             0.58416,             0.02501,             0.01858,           0.0093733,           0.0008425,           0.0008425,           0.0008425
